split,seed,target_prev,model,auroc_mean,auroc_std,ap_mean,ap_std,brier_mean,brier_std,train_prev_effective,test_prev
S1,1017,-1.0,svm_linear_cal,0.9079240336758042,0.010531769714043241,0.47453501146712823,0.0367096227008661,0.017912496024535537,0.0010151527879874022,0.02542433005992011,0.02542432108626198
S1,1017,-1.0,xgb,0.9626520342154201,0.009258279355917762,0.6026878937930685,0.06917789058620004,0.015458047497733548,0.0013191226823988042,0.02542433005992011,0.02542432108626198
S1,1018,-1.0,extratrees,0.9463030636277093,0.007853006807809468,0.5384518419741469,0.03937814036205159,0.017954167848280075,0.0004070401518476418,0.02542433005992011,0.02542432108626198
S1,1018,-1.0,lr_l2,0.9115731230706876,0.012939065116495618,0.46178399793853553,0.06276738847367294,0.017890825048702628,0.0014207336082947086,0.02542433005992011,0.02542432108626198
S1,1018,-1.0,rf,0.954262335191028,0.0057354117418307515,0.5657325892798205,0.03899297224702985,0.016830569510901776,0.000510016360088294,0.02542433005992011,0.02542432108626198
S1,1018,-1.0,svm_linear_cal,0.9022025585396365,0.015746610851686237,0.48111733468784335,0.06767245542493311,0.017595430552102397,0.001527513948940337,0.02542433005992011,0.02542432108626198
S1,1018,-1.0,xgb,0.959103933264864,0.008300031071926941,0.571242742878343,0.03839976771373575,0.01586951533651468,0.0008965046427071462,0.02542433005992011,0.02542432108626198
S1,1019,-1.0,extratrees,0.9508524223687,0.00657146202034821,0.5356309770185678,0.047905947272784466,0.01804723906205518,0.0011162149378664285,0.02542433005992011,0.02542432108626198
S1,1019,-1.0,lr_l2,0.9171010955233652,0.005400079322944073,0.471234676097648,0.0398432780761833,0.01783178706662883,0.0010524149159990036,0.02542433005992011,0.02542432108626198
S1,1019,-1.0,rf,0.9522546362698036,0.007041824090587307,0.567077400431057,0.055363244620993256,0.01675835915909519,0.0011155510648746276,0.02542433005992011,0.02542432108626198
S1,1019,-1.0,svm_linear_cal,0.9116600290845852,0.006653286846302018,0.4765111066807265,0.04069350579459094,0.017722150907801444,0.0011717952452261638,0.02542433005992011,0.02542432108626198
S1,1019,-1.0,xgb,0.9616491790330765,0.0057842792464811105,0.5916167386498183,0.03324157158897371,0.015552408891453443,0.0011357832355171971,0.02542433005992011,0.02542432108626198
S1,1020,-1.0,extratrees,0.9498375135409892,0.009575783327009061,0.5346646094272949,0.06751233665588623,0.018150743637333357,0.0010983670538619072,0.02542433005992011,0.02542432108626198
S1,1020,-1.0,lr_l2,0.9147530266301391,0.013118922359746772,0.47310553149915224,0.07111806422703781,0.01773939745635038,0.001761592242256945,0.02542433005992011,0.02542432108626198
S1,1020,-1.0,rf,0.9518996161880768,0.010293618798169257,0.5640357716912168,0.09229414261870454,0.016710105077980594,0.001433006947906992,0.02542433005992011,0.02542432108626198
S1,1020,-1.0,svm_linear_cal,0.9089619460315417,0.01343763969687324,0.4793902400377009,0.06687493408948231,0.017633036449699695,0.0016223527592242487,0.02542433005992011,0.02542432108626198
S1,1020,-1.0,xgb,0.9583853503649141,0.008960993032113005,0.5780559353659662,0.0633252488172797,0.015740899969231666,0.0015158378207471093,0.02542433005992011,0.02542432108626198
S1,1001,0.1,extratrees,0.9536418998015952,0.010368248675235602,0.5375988214851636,0.08269332486018448,0.020733955845941107,0.0012857584810680406,0.1,0.02542432108626198
S1,1001,0.1,lr_l2,0.9204974093431968,0.014211848890990888,0.44363008620572647,0.0476403945012865,0.025429812579018912,0.004429119437904752,0.1,0.02542432108626198
S1,1001,0.1,rf,0.9544835509760461,0.009606061248600408,0.5624964604998263,0.047640439762358176,0.021166994870832085,0.001404691403944452,0.1,0.02542432108626198
S1,1001,0.1,svm_linear_cal,0.9183566505919192,0.012880485958314257,0.45152048944921175,0.045970352382613044,0.023988081963547105,0.002792371146433144,0.1,0.02542432108626198
S1,1001,0.1,xgb,0.9617892786629445,0.006771296627167192,0.546003834723769,0.029701148450078377,0.021424055783004877,0.0028005705509130336,0.1,0.02542432108626198
S1,1002,0.1,extratrees,0.9543722864833575,0.008300765985633127,0.5356035520669262,0.07831766482532326,0.020771673917551223,0.0010806332470285403,0.1,0.02542432108626198
S1,1002,0.1,lr_l2,0.9181808556899638,0.020351588472144234,0.4303221238876326,0.07896817594124564,0.025625935501339493,0.0017088382011094428,0.1,0.02542432108626198
S1,1002,0.1,rf,0.9520662740101813,0.011907117919067707,0.5583027546186214,0.08022883122082228,0.021042952789524914,0.0013913151068551991,0.1,0.02542432108626198
S1,1002,0.1,svm_linear_cal,0.911960370951531,0.023230910263659966,0.41950129493790733,0.08414078533594634,0.024758439563283507,0.0016428538051151105,0.1,0.02542432108626198
S1,1002,0.1,xgb,0.9555617025470002,0.014080792610226912,0.5690303807579148,0.06455933982888988,0.02016686959171173,0.001702017589080278,0.1,0.02542432108626198
S1,1003,0.1,extratrees,0.9528482174821811,0.008311576246326394,0.532087440103239,0.06096648210815682,0.020870068337276122,0.000572403487450508,0.1,0.02542432108626198
S1,1003,0.1,lr_l2,0.9164100096336126,0.0073261017645744764,0.4097326408273493,0.05280794716788895,0.02447523170094449,0.002210558624712621,0.1,0.02542432108626198
S1,1003,0.1,rf,0.9547451748607744,0.011273323326809179,0.5595662950435021,0.050045367385892256,0.020981496703021553,0.0009192599663437287,0.1,0.02542432108626198
S1,1003,0.1,svm_linear_cal,0.9135485640486707,0.007452886682254751,0.41891428607663206,0.05764573958987481,0.023428839584278723,0.001705538659785287,0.1,0.02542432108626198
S1,1003,0.1,xgb,0.9583836195098716,0.009106240443253177,0.5525438759855692,0.04555898490437405,0.020555569864598777,0.0004339488081867229,0.1,0.02542432108626198
S1,1004,0.1,extratrees,0.9501637685854958,0.008494306086936134,0.529743208393368,0.06928216441709234,0.020935837421048337,0.0009200680487249248,0.1,0.02542432108626198
S1,1004,0.1,lr_l2,0.9190064779083364,0.019472188511473067,0.430346057521329,0.06040915832563758,0.02504504666646718,0.0018011190671885751,0.1,0.02542432108626198
S1,1004,0.1,rf,0.954094544755429,0.012345802087083472,0.5480373653398887,0.08472211968865535,0.02124944303489517,0.00143759077931211,0.1,0.02542432108626198
S1,1004,0.1,svm_linear_cal,0.9173296557178675,0.021853945648124432,0.4399711186470511,0.06379792422967118,0.02389172205131187,0.0012956070598455227,0.1,0.02542432108626198
S1,1004,0.1,xgb,0.9549353091960434,0.014111816596044041,0.5324536504497971,0.0646067111776588,0.021469741845219836,0.001884463166760507,0.1,0.02542432108626198
S1,1005,0.1,extratrees,0.9505431425855688,0.015060735676323074,0.5265513291432604,0.04134500101340724,0.02079801837841514,0.0009273875428330858,0.1,0.02542432108626198
S1,1005,0.1,lr_l2,0.9186762675271402,0.018552406872198477,0.4263515285693293,0.036214296079919814,0.024340620485146215,0.0014594282058244742,0.1,0.02542432108626198
S1,1005,0.1,rf,0.9536320298873399,0.012629677399078418,0.5467812588346429,0.049630507364641294,0.020916621175943517,0.001171812346066885,0.1,0.02542432108626198
S1,1005,0.1,svm_linear_cal,0.9152988486848379,0.01750568730829517,0.4343927409622035,0.03591450744865013,0.02334340627135259,0.0014875999916435787,0.1,0.02542432108626198
S1,1005,0.1,xgb,0.9601576401604636,0.00682183514309843,0.5396313768051668,0.03362808718533691,0.020656527106881428,0.0019517628842875465,0.1,0.02542432108626198
S1,1006,0.1,extratrees,0.9518370992411935,0.012784422408973881,0.5472728226319491,0.0460128927961018,0.020938646106325277,0.0015834769407703266,0.1,0.02542432108626198
S1,1006,0.1,lr_l2,0.9211718873652723,0.017813023006628365,0.40152171376758944,0.022353900522257077,0.026057431053893694,0.002990585902475615,0.1,0.02542432108626198
S1,1006,0.1,rf,0.9528280121480778,0.009853422335874214,0.5653310534895913,0.021202213964734762,0.021022139120113546,0.0015719479839777029,0.1,0.02542432108626198
S1,1006,0.1,svm_linear_cal,0.9175149416431762,0.019157793730975117,0.40859954809981114,0.0314080328328238,0.024919010514474906,0.002379512090433465,0.1,0.02542432108626198
S1,1006,0.1,xgb,0.9595167060959199,0.009176986066808118,0.552603862649235,0.042563148771496626,0.020624106076346398,0.0023279274781353044,0.1,0.02542432108626198
S1,1007,0.1,extratrees,0.9528745330255077,0.007486185889766125,0.5325830333752665,0.03781791851193888,0.020878562000480088,0.0003809204911276419,0.1,0.02542432108626198
S1,1007,0.1,lr_l2,0.9234791225389086,0.015891612359667327,0.4209006381376673,0.03903228281882917,0.02487427022414722,0.0015042857900891488,0.1,0.02542432108626198
S1,1007,0.1,rf,0.9533877912157779,0.006791037744823806,0.5557814613882022,0.02059208287625384,0.02095664222122569,0.0009496682784353368,0.1,0.02542432108626198
