split,seed,target_prev,winner_model,winner_auc,winner_ap,winner_brier
S2,1013,0.4,xgb,0.955183215560359,0.47847232881722734,0.07257038856446828
S2,1014,0.4,xgb,0.9507426167678468,0.44364019588155507,0.07399747895203851
S2,1015,0.4,rf,0.9534010340897281,0.47970130091554797,0.0760367837530378
S2,1016,0.4,xgb,0.9539269606657307,0.46350040539541054,0.07208487790545284
S2,1017,0.4,xgb,0.9551193254998189,0.47918517375556524,0.06903413113941899
S2,1018,0.4,xgb,0.9541961071705052,0.4862567066425612,0.07069020255632671
S2,1019,0.4,rf,0.9533897206426293,0.48998406766833363,0.07640073410270984
S2,1020,0.4,xgb,0.9542191665289979,0.4729947603546387,0.0697571963083703
S2,1001,0.5,xgb,0.9537536674307555,0.45750693293079203,0.09056151847031405
S2,1002,0.5,rf,0.9552159123390676,0.480972687975215,0.10184758108342115
S2,1003,0.5,rf,0.9523829480980626,0.45645165243543584,0.0959535707056645
S2,1004,0.5,xgb,0.9539632274519402,0.45685156424949225,0.09049636940969658
S2,1005,0.5,xgb,0.9530132989086223,0.45252742594913525,0.0953254116631346
S2,1006,0.5,xgb,0.956334433176635,0.44945906299371463,0.08734470876249366
S2,1007,0.5,xgb,0.9509504661490595,0.4624331136130371,0.08961417717753903
S2,1008,0.5,xgb,0.9495606577344574,0.4780007490324024,0.10080234912032571
S2,1009,0.5,xgb,0.9516381823472427,0.44100081376370676,0.09824894060593876
S2,1010,0.5,xgb,0.9524780092428962,0.4518522168549787,0.09555062187253482
S2,1011,0.5,rf,0.9531226599762839,0.47807937570293146,0.10624834163018919
S2,1012,0.5,rf,0.9523983389786903,0.49408926885868,0.09996632708862897
S2,1013,0.5,rf,0.9539856935615759,0.46947179527690885,0.10307028080400157
S2,1014,0.5,xgb,0.9522021448433566,0.4228021503682363,0.09146031736445048
S2,1015,0.5,xgb,0.9536257782921943,0.4766305253161397,0.10214852484614372
S2,1016,0.5,rf,0.9507583554286423,0.457161923122695,0.10669899103230115
S2,1017,0.5,xgb,0.9534635410945634,0.4358364531239829,0.09468982736588753
S2,1018,0.5,rf,0.9523922552896142,0.4691378336358304,0.10245467368374817
S2,1019,0.5,rf,0.9505852293373899,0.46296043635579576,0.10371467403174275
S2,1020,0.5,xgb,0.9532187059988099,0.45225628297871917,0.09703626767088921
