split,seed,target_prev,fold,model,train_prev_effective,test_prev,auroc,ap,brier,best_params
S1,1004,-1.0,3,svm_linear_cal,0.025477141588992454,0.02521306818181818,0.9278124118114882,0.5002380262322245,0.017095954225119614,"{""clf__C"": 0.1}"
S1,1004,-1.0,3,rf,0.025477141588992454,0.02521306818181818,0.9657610508222376,0.6404216483945017,0.015475237983152423,"{""clf__max_depth"": 12}"
S1,1004,-1.0,3,xgb,0.025477141588992454,0.02521306818181818,0.9732522640396111,0.625795189731321,0.014280743992947277,"{""clf__learning_rate"": 0.05, ""clf__max_depth"": 4}"
S1,1004,-1.0,3,extratrees,0.025477141588992454,0.02521306818181818,0.9567715949613895,0.5665122444188848,0.01773194023567199,"{""clf__max_depth"": 12}"
S1,1004,-1.0,4,lr_l2,0.025388371060807814,0.02556818181818182,0.9029954243602203,0.4395894129048455,0.01848677575028102,"{""clf__C"": 1.0}"
S1,1004,-1.0,4,svm_linear_cal,0.025388371060807814,0.02556818181818182,0.8924066650469712,0.4288270023833092,0.018794985725873063,"{""clf__C"": 0.1}"
S1,1004,-1.0,4,rf,0.025388371060807814,0.02556818181818182,0.9319829122125041,0.465699715972577,0.018646894522277656,"{""clf__max_depth"": 12}"
S1,1004,-1.0,4,xgb,0.025388371060807814,0.02556818181818182,0.9441255668934241,0.46806967307724057,0.018067542704505783,"{""clf__learning_rate"": 0.03, ""clf__max_depth"": 3}"
S1,1004,-1.0,4,extratrees,0.025388371060807814,0.02556818181818182,0.9302822319403952,0.45292895818147555,0.019932211911810317,"{""clf__max_depth"": 12}"
S1,1004,-1.0,5,lr_l2,0.025388371060807814,0.02556818181818182,0.9131691367023,0.4649050855642908,0.018220424577169825,"{""clf__C"": 1.0}"
S1,1004,-1.0,5,svm_linear_cal,0.025388371060807814,0.02556818181818182,0.8897645367670878,0.45868590787472036,0.01784602625292969,"{""clf__C"": 1.0}"
S1,1004,-1.0,5,rf,0.025388371060807814,0.02556818181818182,0.9515053045027535,0.5828166216078662,0.01642503778601363,"{""clf__max_depth"": 12}"
S1,1004,-1.0,5,xgb,0.025388371060807814,0.02556818181818182,0.9587888726919339,0.5809003159877761,0.01572860631143905,"{""clf__learning_rate"": 0.05, ""clf__max_depth"": 4}"
S1,1004,-1.0,5,extratrees,0.025388371060807814,0.02556818181818182,0.9504069484936832,0.5464416322036214,0.01808551375872818,"{""clf__max_depth"": 12}"
S1,1005,-1.0,1,lr_l2,0.025390625,0.025559105431309903,0.9047257640153815,0.4882024031917859,0.01762001062356361,"{""clf__C"": 0.1}"
S1,1005,-1.0,1,svm_linear_cal,0.025390625,0.025559105431309903,0.896726371179923,0.511211764298139,0.01742228354830917,"{""clf__C"": 0.1}"
S1,1005,-1.0,1,rf,0.025390625,0.025559105431309903,0.9565168994130743,0.6177236827035035,0.01653913642279726,"{""clf__max_depth"": 12}"
S1,1005,-1.0,1,xgb,0.025390625,0.025559105431309903,0.9648451730418943,0.6057278328020584,0.015602794545153455,"{""clf__learning_rate"": 0.03, ""clf__max_depth"": 5}"
S1,1005,-1.0,1,extratrees,0.025390625,0.025559105431309903,0.9543766444039667,0.5728773984440851,0.018420716547178143,"{""clf__max_depth"": 12}"
S1,1005,-1.0,2,lr_l2,0.025477141588992454,0.02521306818181818,0.931316862926191,0.4852584309621753,0.01775209039042526,"{""clf__C"": 1.0}"
S1,1005,-1.0,2,svm_linear_cal,0.025477141588992454,0.02521306818181818,0.9296236435003463,0.4987459373415478,0.017629111416858658,"{""clf__C"": 0.1}"
S1,1005,-1.0,2,rf,0.025477141588992454,0.02521306818181818,0.9242053413376433,0.5358517775659694,0.016868423217689187,"{""clf__max_depth"": 12}"
S1,1005,-1.0,2,xgb,0.025477141588992454,0.02521306818181818,0.9430257318043048,0.5517744231034498,0.01605475306098526,"{""clf__learning_rate"": 0.03, ""clf__max_depth"": 5}"
S1,1005,-1.0,2,extratrees,0.025477141588992454,0.02521306818181818,0.9314117858333975,0.561565495927986,0.01715569365530303,"{""clf__max_depth"": null}"
S1,1005,-1.0,3,lr_l2,0.025477141588992454,0.02521306818181818,0.9439236511967983,0.4938813078879534,0.01688204339688221,"{""clf__C"": 1.0}"
S1,1005,-1.0,3,svm_linear_cal,0.025477141588992454,0.02521306818181818,0.9314810539008185,0.4955450941506133,0.01699363331756365,"{""clf__C"": 0.1}"
S1,1005,-1.0,3,rf,0.025477141588992454,0.02521306818181818,0.9688909412760717,0.573388848921551,0.01650797284082224,"{""clf__max_depth"": 12}"
S1,1005,-1.0,3,xgb,0.025477141588992454,0.02521306818181818,0.9653505733856693,0.595927420664021,0.01517673185029769,"{""clf__learning_rate"": 0.03, ""clf__max_depth"": 4}"
S1,1005,-1.0,3,extratrees,0.025477141588992454,0.02521306818181818,0.9654685856486825,0.5207597444582207,0.017554788115530306,"{""clf__max_depth"": null}"
S1,1005,-1.0,4,lr_l2,0.025388371060807814,0.02556818181818182,0.9187874554583738,0.4550239550685913,0.018087396400815768,"{""clf__C"": 10.0}"
S1,1005,-1.0,4,svm_linear_cal,0.025388371060807814,0.02556818181818182,0.9107142857142858,0.48351777284326464,0.017607779736578805,"{""clf__C"": 1.0}"
S1,1005,-1.0,4,rf,0.025388371060807814,0.02556818181818182,0.9611576773566569,0.59785428469618,0.016660397172671516,"{""clf__max_depth"": 12}"
S1,1005,-1.0,4,xgb,0.025388371060807814,0.02556818181818182,0.9723487609329446,0.6073408923621333,0.015705690244098805,"{""clf__learning_rate"": 0.03, ""clf__max_depth"": 5}"
S1,1005,-1.0,4,extratrees,0.025388371060807814,0.02556818181818182,0.9572020772594753,0.5315680969103804,0.01791648319128788,"{""clf__max_depth"": null}"
S1,1005,-1.0,5,lr_l2,0.025388371060807814,0.02556818181818182,0.8910198007774538,0.46065483744828234,0.018235058322817892,"{""clf__C"": 1.0}"
S1,1005,-1.0,5,svm_linear_cal,0.025388371060807814,0.02556818181818182,0.8870313006154843,0.4552579208370001,0.0184411586138302,"{""clf__C"": 0.1}"
S1,1005,-1.0,5,rf,0.025388371060807814,0.02556818181818182,0.9532414156138646,0.5120011558561967,0.01749435594679508,"{""clf__max_depth"": 12}"
S1,1005,-1.0,5,xgb,0.025388371060807814,0.02556818181818182,0.9605047376093294,0.5192471783030279,0.017205119674095888,"{""clf__learning_rate"": 0.03, ""clf__max_depth"": 3}"
S1,1005,-1.0,5,extratrees,0.025388371060807814,0.02556818181818182,0.9479824667962423,0.5065738317269178,0.018544988255863606,"{""clf__max_depth"": 12}"
S1,1006,-1.0,1,lr_l2,0.025390625,0.025559105431309903,0.9005464480874317,0.46197485691135987,0.017949805485373685,"{""clf__C"": 1.0}"
S1,1006,-1.0,1,svm_linear_cal,0.025390625,0.025559105431309903,0.8903815017202995,0.47047027272919434,0.017601027172950083,"{""clf__C"": 0.1}"
S1,1006,-1.0,1,rf,0.025390625,0.025559105431309903,0.9499822910342036,0.5997462915283912,0.01640638385989824,"{""clf__max_depth"": null}"
S1,1006,-1.0,1,xgb,0.025390625,0.025559105431309903,0.9503339404978749,0.5732777913636362,0.01520252560545056,"{""clf__learning_rate"": 0.05, ""clf__max_depth"": 3}"
S1,1006,-1.0,1,extratrees,0.025390625,0.025559105431309903,0.948087431693989,0.5374541024215428,0.01760060939533783,"{""clf__max_depth"": null}"
S1,1006,-1.0,2,lr_l2,0.025477141588992454,0.02521306818181818,0.9245388542548553,0.47398048597772946,0.01767316195637875,"{""clf__C"": 1.0}"
S1,1006,-1.0,2,svm_linear_cal,0.025477141588992454,0.02521306818181818,0.9120911259909182,0.46491356386397237,0.01817033018014513,"{""clf__C"": 0.1}"
S1,1006,-1.0,2,rf,0.025477141588992454,0.02521306818181818,0.9668898637728007,0.5807142666899496,0.016687264244002523,"{""clf__max_depth"": null}"
S1,1006,-1.0,2,xgb,0.025477141588992454,0.02521306818181818,0.9721080581851766,0.5636129238010344,0.016223370549362556,"{""clf__learning_rate"": 0.03, ""clf__max_depth"": 4}"
