split,miss_rate,baseline_seed,baseline_severity,baseline_winner_det,det_flip_pct,tie_flip_pct,kendall_tau_mean,spearman_rho_mean,flip_thr,tau_thr,stable_det,stable_tie
S1,0.5,1001,0.0,xgb,0.0,0.0,0.9157894736842105,0.957894736842105,5.0,0.7,True,True
S1,0.5,1001,0.0,xgb,0.0,0.0,0.9157894736842105,0.957894736842105,5.0,0.8,True,True
S1,0.5,1001,0.0,xgb,0.0,0.0,0.9157894736842105,0.957894736842105,5.0,0.9,True,True
S1,0.5,1001,0.0,xgb,0.0,0.0,0.9157894736842105,0.957894736842105,10.0,0.7,True,True
S1,0.5,1001,0.0,xgb,0.0,0.0,0.9157894736842105,0.957894736842105,10.0,0.8,True,True
S1,0.5,1001,0.0,xgb,0.0,0.0,0.9157894736842105,0.957894736842105,10.0,0.9,True,True
S1,0.6,1001,0.0,xgb,0.0,0.0,0.9473684210526314,0.9736842105263156,0.0,0.7,True,True
S1,0.6,1001,0.0,xgb,0.0,0.0,0.9473684210526314,0.9736842105263156,0.0,0.8,True,True
S1,0.6,1001,0.0,xgb,0.0,0.0,0.9473684210526314,0.9736842105263156,0.0,0.9,True,True
S1,0.6,1001,0.0,xgb,0.0,0.0,0.9473684210526314,0.9736842105263156,5.0,0.7,True,True
S1,0.6,1001,0.0,xgb,0.0,0.0,0.9473684210526314,0.9736842105263156,5.0,0.8,True,True
S1,0.6,1001,0.0,xgb,0.0,0.0,0.9473684210526314,0.9736842105263156,5.0,0.9,True,True
S1,0.6,1001,0.0,xgb,0.0,0.0,0.9473684210526314,0.9736842105263156,10.0,0.7,True,True
S1,0.6,1001,0.0,xgb,0.0,0.0,0.9473684210526314,0.9736842105263156,10.0,0.8,True,True
S1,0.6,1001,0.0,xgb,0.0,0.0,0.9473684210526314,0.9736842105263156,10.0,0.9,True,True
S1,0.7,1001,0.0,xgb,0.0,5.0,0.9473684210526315,0.9736842105263156,0.0,0.7,True,False
S1,0.7,1001,0.0,xgb,0.0,5.0,0.9473684210526315,0.9736842105263156,0.0,0.8,True,False
S1,0.7,1001,0.0,xgb,0.0,5.0,0.9473684210526315,0.9736842105263156,0.0,0.9,True,False
S1,0.7,1001,0.0,xgb,0.0,5.0,0.9473684210526315,0.9736842105263156,5.0,0.7,True,True
S1,0.7,1001,0.0,xgb,0.0,5.0,0.9473684210526315,0.9736842105263156,5.0,0.8,True,True
S1,0.7,1001,0.0,xgb,0.0,5.0,0.9473684210526315,0.9736842105263156,5.0,0.9,True,True
S1,0.7,1001,0.0,xgb,0.0,5.0,0.9473684210526315,0.9736842105263156,10.0,0.7,True,True
S1,0.7,1001,0.0,xgb,0.0,5.0,0.9473684210526315,0.9736842105263156,10.0,0.8,True,True
S1,0.7,1001,0.0,xgb,0.0,5.0,0.9473684210526315,0.9736842105263156,10.0,0.9,True,True
S2,0.0,1001,0.0,xgb,0.0,0.0,0.8,0.8999999999999997,0.0,0.7,True,True
S2,0.0,1001,0.0,xgb,0.0,0.0,0.8,0.8999999999999997,0.0,0.8,True,True
S2,0.0,1001,0.0,xgb,0.0,0.0,0.8,0.8999999999999997,0.0,0.9,False,False
S2,0.0,1001,0.0,xgb,0.0,0.0,0.8,0.8999999999999997,5.0,0.7,True,True
S2,0.0,1001,0.0,xgb,0.0,0.0,0.8,0.8999999999999997,5.0,0.8,True,True
S2,0.0,1001,0.0,xgb,0.0,0.0,0.8,0.8999999999999997,5.0,0.9,False,False
S2,0.0,1001,0.0,xgb,0.0,0.0,0.8,0.8999999999999997,10.0,0.7,True,True
S2,0.0,1001,0.0,xgb,0.0,0.0,0.8,0.8999999999999997,10.0,0.8,True,True
S2,0.0,1001,0.0,xgb,0.0,0.0,0.8,0.8999999999999997,10.0,0.9,False,False
S2,0.05,1001,0.0,xgb,0.0,0.0,0.9789473684210526,0.9894736842105262,0.0,0.7,True,True
S2,0.05,1001,0.0,xgb,0.0,0.0,0.9789473684210526,0.9894736842105262,0.0,0.8,True,True
S2,0.05,1001,0.0,xgb,0.0,0.0,0.9789473684210526,0.9894736842105262,0.0,0.9,True,True
S2,0.05,1001,0.0,xgb,0.0,0.0,0.9789473684210526,0.9894736842105262,5.0,0.7,True,True
S2,0.05,1001,0.0,xgb,0.0,0.0,0.9789473684210526,0.9894736842105262,5.0,0.8,True,True
S2,0.05,1001,0.0,xgb,0.0,0.0,0.9789473684210526,0.9894736842105262,5.0,0.9,True,True
S2,0.05,1001,0.0,xgb,0.0,0.0,0.9789473684210526,0.9894736842105262,10.0,0.7,True,True
S2,0.05,1001,0.0,xgb,0.0,0.0,0.9789473684210526,0.9894736842105262,10.0,0.8,True,True
S2,0.05,1001,0.0,xgb,0.0,0.0,0.9789473684210526,0.9894736842105262,10.0,0.9,True,True
S2,0.1,1001,0.0,xgb,0.0,0.0,0.9578947368421052,0.9789473684210523,0.0,0.7,True,True
S2,0.1,1001,0.0,xgb,0.0,0.0,0.9578947368421052,0.9789473684210523,0.0,0.8,True,True
S2,0.1,1001,0.0,xgb,0.0,0.0,0.9578947368421052,0.9789473684210523,0.0,0.9,True,True
S2,0.1,1001,0.0,xgb,0.0,0.0,0.9578947368421052,0.9789473684210523,5.0,0.7,True,True
S2,0.1,1001,0.0,xgb,0.0,0.0,0.9578947368421052,0.9789473684210523,5.0,0.8,True,True
S2,0.1,1001,0.0,xgb,0.0,0.0,0.9578947368421052,0.9789473684210523,5.0,0.9,True,True
S2,0.1,1001,0.0,xgb,0.0,0.0,0.9578947368421052,0.9789473684210523,10.0,0.7,True,True
S2,0.1,1001,0.0,xgb,0.0,0.0,0.9578947368421052,0.9789473684210523,10.0,0.8,True,True
S2,0.1,1001,0.0,xgb,0.0,0.0,0.9578947368421052,0.9789473684210523,10.0,0.9,True,True
S2,0.2,1001,0.0,xgb,0.0,0.0,0.8421052631578947,0.9210526315789472,0.0,0.7,True,True
S2,0.2,1001,0.0,xgb,0.0,0.0,0.8421052631578947,0.9210526315789472,0.0,0.8,True,True
S2,0.2,1001,0.0,xgb,0.0,0.0,0.8421052631578947,0.9210526315789472,0.0,0.9,False,False
S2,0.2,1001,0.0,xgb,0.0,0.0,0.8421052631578947,0.9210526315789472,5.0,0.7,True,True
S2,0.2,1001,0.0,xgb,0.0,0.0,0.8421052631578947,0.9210526315789472,5.0,0.8,True,True
S2,0.2,1001,0.0,xgb,0.0,0.0,0.8421052631578947,0.9210526315789472,5.0,0.9,False,False
S2,0.2,1001,0.0,xgb,0.0,0.0,0.8421052631578947,0.9210526315789472,10.0,0.7,True,True
S2,0.2,1001,0.0,xgb,0.0,0.0,0.8421052631578947,0.9210526315789472,10.0,0.8,True,True
S2,0.2,1001,0.0,xgb,0.0,0.0,0.8421052631578947,0.9210526315789472,10.0,0.9,False,False
