split,seed,miss_rate,winner_det,winner_tie_set,winner_tie_k,best_auroc,best_ap,best_brier
S1,1010,0.1,xgb,xgb,1,0.9550326433735516,0.536403898139454,0.0166601206200334
S1,1011,0.1,xgb,xgb,1,0.951930046283716,0.537325534362955,0.0167148769371409
S1,1012,0.1,xgb,xgb,1,0.9552316688648634,0.5463598504253593,0.0166124712433174
S1,1013,0.1,xgb,xgb,1,0.9530420120627112,0.5261343143261974,0.016904081150819
S1,1014,0.1,xgb,xgb,1,0.9531922153374256,0.5334317578394872,0.0167760542801213
S1,1015,0.1,xgb,xgb,1,0.9498127095514032,0.5453904324333926,0.0164033623932697
S1,1016,0.1,xgb,xgb,1,0.953014729954389,0.543523442907369,0.0165777226705163
S1,1017,0.1,xgb,xgb,1,0.9600860567323248,0.555622279824701,0.0166297483924331
S1,1018,0.1,xgb,xgb,1,0.9523813680930318,0.5383022581524023,0.016786094783925
S1,1019,0.1,xgb,xgb,1,0.9585286358914468,0.568586693916048,0.0159530458151456
S1,1020,0.1,xgb,xgb,1,0.954004407507916,0.5504716522106664,0.0164466436547096
S1,1001,0.2,xgb,xgb,1,0.952984472316803,0.5192182623764016,0.0170014042214969
S1,1002,0.2,xgb,xgb,1,0.9500696080127468,0.5023951836076519,0.0173937118978526
S1,1003,0.2,xgb,xgb,1,0.9539916037005316,0.5019757422393749,0.0174893660775295
S1,1004,0.2,xgb,xgb,1,0.9525371526978142,0.5383877884746644,0.0165587467118287
S1,1005,0.2,xgb,xgb,1,0.9483757828839884,0.5073453096240678,0.0172748199818914
S1,1006,0.2,xgb,xgb,1,0.9501226145258184,0.5023753201445039,0.0173272191394613
S1,1007,0.2,xgb,xgb,1,0.9525397511852856,0.4977489181214085,0.0175484698584941
S1,1008,0.2,xgb,xgb,1,0.9502203678798896,0.5011003155194129,0.0174212923419895
S1,1009,0.2,xgb,xgb,1,0.9558014449055918,0.5538228414505179,0.016446035423637
S1,1010,0.2,xgb,xgb,1,0.9472128550840292,0.5245697359099546,0.0167658823213354
S1,1011,0.2,xgb,xgb,1,0.9486139621111424,0.511473149862953,0.0171609028320746
S1,1012,0.2,xgb,xgb,1,0.9535645695740348,0.5151315701787398,0.0172462594581981
S1,1013,0.2,xgb,xgb,1,0.9477559446946808,0.4789876839694413,0.0178310703867469
S1,1014,0.2,xgb,xgb,1,0.947373759551722,0.4997430903179021,0.0174841918492293
S1,1015,0.2,xgb,xgb,1,0.944633312308332,0.5189532685214705,0.017119974337026
S1,1016,0.2,xgb,xgb,1,0.9494949040892944,0.518103247467343,0.016932212588582
S1,1017,0.2,xgb,xgb,1,0.9535349375120988,0.526931324736454,0.0172214821593751
S1,1018,0.2,xgb,xgb,1,0.9483783554008172,0.5132200694698502,0.0171017783907703
S1,1019,0.2,xgb,xgb,1,0.9521381950333028,0.5055673138274261,0.0172993794784468
S1,1020,0.2,xgb,xgb,1,0.9499391396425092,0.5063447859224468,0.0173649574654932
S1,1001,0.3,xgb,xgb,1,0.9425457510426506,0.4868432510140651,0.0176238984697345
S1,1002,0.3,xgb,xgb,1,0.9412041871887724,0.4611960618732812,0.0182116915771314
S1,1003,0.3,xgb,xgb,1,0.9413212177562938,0.4691746043773072,0.0179538053157052
S1,1004,0.3,xgb,xgb,1,0.9490783096314028,0.464885004208234,0.0180901626634011
S1,1005,0.3,xgb,xgb,1,0.9476806052467448,0.491937834174862,0.0177105697322768
S1,1006,0.3,xgb,xgb,1,0.9439373041351254,0.453264331844556,0.0183110346242039
S1,1007,0.3,xgb,xgb,1,0.9409622381098564,0.4780691537944012,0.0178862325598506
S1,1008,0.3,xgb,xgb,1,0.9411413478942708,0.4607047799096971,0.0182397987813176
S1,1009,0.3,xgb,xgb,1,0.9483026835130705,0.5043150990255574,0.017266501258286
S1,1010,0.3,xgb,xgb,1,0.9381125102763757,0.465037579695746,0.0183021755822317
S1,1011,0.3,xgb,xgb,1,0.940862117697906,0.4649173068505233,0.0180600794230909
S1,1012,0.3,xgb,xgb,1,0.949039083795862,0.4838960583598194,0.0179746590950073
S1,1013,0.3,xgb,xgb,1,0.9440794950665876,0.4952497619076643,0.0175359847063
S1,1014,0.3,xgb,xgb,1,0.9337503660198514,0.4589459846123495,0.0180675900579975
S1,1015,0.3,xgb,xgb,1,0.946133645578164,0.4874375629388394,0.0177707985950198
S1,1016,0.3,xgb,xgb,1,0.933518305216435,0.4457073526448751,0.0185166855242594
S1,1017,0.3,xgb,xgb,1,0.9522749157215245,0.4799196969237737,0.0178613903971905
S1,1018,0.3,xgb,xgb,1,0.9442735413519908,0.4793047911926192,0.0178726089733468
S1,1019,0.3,xgb,xgb,1,0.9414763132923992,0.4933443531975608,0.0174376670295157
S1,1020,0.3,xgb,xgb,1,0.9443291313518904,0.4652496962112556,0.0179876107347222
S1,1001,0.4,xgb,xgb,1,0.9315276671999748,0.4036494192427421,0.0192286471899292
S1,1002,0.4,xgb,xgb,1,0.9439284502807168,0.4492330310717348,0.0185592626533394
S1,1003,0.4,xgb,xgb,1,0.9342236302902232,0.47174604548305,0.017778620432513
S1,1004,0.4,xgb,xgb,1,0.9352814842611714,0.4193310156868103,0.01888385615401
S1,1005,0.4,xgb,xgb,1,0.9372348769425344,0.4177645842342814,0.0190353915383568
S1,1006,0.4,rf,rf,1,0.9393810585354354,0.4655211285658557,0.0189035343824841
S1,1007,0.4,xgb,xgb,1,0.936800558383156,0.4732745480030475,0.017909897590229
S1,1008,0.4,xgb,xgb,1,0.935283488727324,0.427555170812225,0.0187299882427136
S1,1009,0.4,xgb,xgb,1,0.9295644502971054,0.4494842301413866,0.0183381176819701
S1,1010,0.4,xgb,xgb,1,0.9297377046053464,0.4460066652485118,0.0184605724761199
S1,1011,0.4,xgb,xgb,1,0.9335959497822676,0.4566461940772733,0.0182912700915764
S1,1012,0.4,xgb,xgb,1,0.941060243914158,0.4648639920771986,0.0179785345150549
S1,1013,0.4,xgb,xgb,1,0.9359330684604096,0.4349939085367599,0.0187627866095185
S1,1014,0.4,xgb,xgb,1,0.936088065988503,0.425486643924332,0.0188621305746483
S1,1015,0.4,xgb,xgb,1,0.9291478280194614,0.4475669288611833,0.0184548208843667
S1,1016,0.4,xgb,xgb,1,0.93423598210454,0.4477312868230674,0.0183740365195695
S1,1017,0.4,xgb,xgb,1,0.943315100269577,0.4403732010914038,0.0185050416183324
S1,1018,0.4,xgb,xgb,1,0.9416788653996268,0.4763386020360649,0.0179956393286657
S1,1019,0.4,xgb,xgb,1,0.9333257892927118,0.4658073893068799,0.0181065100675077
S1,1020,0.4,xgb,xgb,1,0.9344213182414892,0.4396787020773846,0.01862917226989
S1,1001,0.5,xgb,xgb,1,0.9307977920022312,0.4194941914115292,0.018832498191261
S1,1002,0.5,xgb,xgb,1,0.9280531405247048,0.395092972588973,0.0193352116442685
S1,1003,0.5,xgb,xgb,1,0.9255505441356616,0.4324819545207958,0.018623613835017
S1,1004,0.5,xgb,xgb,1,0.9268039009503202,0.3902618164048552,0.0194004539735672
S1,1005,0.5,xgb,xgb,1,0.9263563354568676,0.4071046563787018,0.0191302643325887
S1,1006,0.5,xgb,xgb,1,0.919676264172772,0.3909599945623342,0.0195682821570974
S1,1007,0.5,xgb,xgb,1,0.9222540581736832,0.4206531692805549,0.0189315473832482
S1,1008,0.5,xgb,xgb,1,0.9355947452815144,0.4298310579507032,0.0187980077779279
S1,1009,0.5,xgb,xgb,1,0.9209180864900192,0.4002858516680158,0.019306058319993
