split,seed,target_prev,rank1_model,rank2_model,margin_auc,margin_ap,margin_brier
S2,1009,0.1,xgb,rf,0.0061499666749373905,0.0013620034876836717,0.00023052599563840037
S2,1010,0.1,xgb,extratrees,0.006004912658854056,0.019226547361496982,-0.0002930340081859009
S2,1011,0.1,xgb,rf,0.004915311707671899,-0.0029434760707229835,0.0005624119294424003
S2,1012,0.1,xgb,extratrees,0.002841283641806358,0.031207115631856852,-3.084284322549952e-05
S2,1013,0.1,xgb,extratrees,0.004261020220856948,0.00362212831069475,-0.0001935327444238001
S2,1014,0.1,xgb,extratrees,0.005980120013214796,-0.0004486985280807154,-0.0007747280588010011
S2,1015,0.1,xgb,rf,0.007085897059050161,0.002482642710848082,0.0013033077875629004
S2,1016,0.1,xgb,rf,0.0038101813872429835,-0.0077057823949447934,9.218892733209999e-05
S2,1017,0.1,xgb,rf,0.0051235765992445614,0.0012908468140482299,0.0006172709806415988
S2,1018,0.1,xgb,rf,0.004317658517179801,-0.00030398798455355536,0.00015923247959780118
S2,1019,0.1,xgb,rf,0.006848239782966337,-0.007531043562316597,0.000493530225367602
S2,1020,0.1,xgb,rf,0.0073950090674553826,0.011740735880625297,9.109195218090158e-05
S2,1001,0.2,xgb,rf,0.001982949529083955,-0.0013458703130597716,0.0004448038504664964
S2,1002,0.2,rf,xgb,9.938747680238169e-05,0.015314861103265742,0.00046951203531400004
S2,1003,0.2,xgb,rf,0.004281422777926425,-0.015051122461103628,0.0008009611676961029
S2,1004,0.2,xgb,rf,0.002422897373817734,-0.03984339652768959,0.002115756323164901
S2,1005,0.2,xgb,rf,0.0022739412224269673,-0.029755456916661593,-0.00033881426560269934
S2,1006,0.2,xgb,rf,0.004427330765402804,-0.00609275986747948,0.001403388101853302
S2,1007,0.2,xgb,rf,0.004074269449853007,0.004407444510326042,0.0012175112176062014
S2,1008,0.2,xgb,rf,0.002896274190886894,-0.025932642429431385,0.0006137738606596041
S2,1009,0.2,xgb,rf,0.0033457718554603666,-0.007079007267375537,-0.0005568079586832017
S2,1010,0.2,xgb,rf,0.004630661609020925,-0.026155899951139205,-0.00044723981804389856
S2,1011,0.2,xgb,rf,0.002740500947854607,-0.004069170296988944,0.0002811815285168051
S2,1012,0.2,xgb,rf,0.003996512292923637,-0.0019149661321530287,0.00011044883867350475
S2,1013,0.2,xgb,rf,0.0034164398624784154,-0.008697115570469371,0.0013082540458273992
S2,1014,0.2,xgb,rf,0.004225884365184784,-0.005596020977760574,0.0016019685946795023
S2,1015,0.2,xgb,rf,0.00335133430960477,0.0016126278063798294,0.0015166252786987036
S2,1016,0.2,xgb,rf,0.002899590936257579,-0.014219478706047561,0.00021626379800190193
S2,1017,0.2,xgb,rf,0.004486564883678157,-0.0057945976078099815,0.0016482753337600034
S2,1018,0.2,xgb,rf,0.003400933968362163,-0.01668691480897344,-0.00018546406358700002
S2,1019,0.2,xgb,rf,0.0035388865382000034,-0.03120571402865696,0.0005640575576075016
S2,1020,0.2,xgb,rf,0.0031666045156808487,-0.024161646009356663,0.0015535817254544032
S2,1001,0.3,rf,extratrees,0.0037881902325064276,0.03084047705778742,0.0004470770148794004
S2,1002,0.3,xgb,rf,0.00024707331006401656,-0.03358237400226455,0.0012299284860307
S2,1003,0.3,xgb,rf,0.0007241689855234101,-0.005732757574852532,0.0009647388924031025
S2,1004,0.3,xgb,rf,0.0010196987367875332,-0.013633330190678916,0.003275733458682699
S2,1005,0.3,xgb,rf,0.0004203581404144119,-0.016319595917128504,0.002217122274227906
S2,1006,0.3,xgb,rf,0.0017227862965962792,-0.030082808056849375,0.002695549196583602
S2,1007,0.3,xgb,rf,0.0009081871898213301,-0.01760350886845663,0.001308998213228503
S2,1008,0.3,xgb,rf,0.0019067546300522986,-0.008232519534918104,0.002788148430707002
S2,1009,0.3,xgb,rf,0.0007415914044165417,-0.02825676467275151,0.002173632485159699
S2,1010,0.3,xgb,rf,0.0014037304229581604,-0.017269509217438028,0.0009596034582564986
S2,1011,0.3,rf,xgb,0.0014947120137491776,0.01814218917575483,0.0026213369493032004
S2,1012,0.3,xgb,rf,0.0016875186419608168,0.0001627869107924118,0.0014629673176923957
S2,1013,0.3,xgb,rf,0.004621081697648188,-0.000909577329504585,0.000950927457317903
S2,1014,0.3,rf,xgb,0.0015393422353972008,0.03683865909965761,-0.0005803704773811938
S2,1015,0.3,xgb,rf,0.004593910742406226,-0.0021257917861819964,0.0023301245099374007
S2,1016,0.3,rf,xgb,0.001279257237993603,0.010572539836803452,-0.0037364109670102036
S2,1017,0.3,xgb,rf,0.0024605679924768475,-0.016708745633420397,0.0032542379679746034
S2,1018,0.3,xgb,rf,0.0015840569860985365,-0.012743099341233799,0.0035034119200820987
S2,1019,0.3,xgb,rf,0.0024700306489338075,-0.0341803504031547,0.000644810252975199
