split,seed,target_prev,winner_det,winner_tie_set,winner_tie_k,best_auroc,best_ap,best_brier
S2,1008,0.2,xgb,xgb,1,0.9562478125482377,0.5181066351402629,0.0351300787158415
S2,1009,0.2,xgb,xgb,1,0.9571051028129836,0.523099627684083,0.0355592249501189
S2,1010,0.2,xgb,xgb,1,0.958274797647994,0.5021076682621125,0.0365155267928442
S2,1011,0.2,xgb,xgb,1,0.9566303757338768,0.5343364608224025,0.0348399656530619
S2,1012,0.2,xgb,xgb,1,0.9571773548363096,0.5167823959141551,0.0354843443559564
S2,1013,0.2,xgb,xgb,1,0.9576136678186884,0.5181126789421624,0.0340968827950316
S2,1014,0.2,xgb,xgb,1,0.9582857417576556,0.5101249076817609,0.0340364769336253
S2,1015,0.2,xgb,xgb,1,0.9571747497836112,0.5298543955591895,0.0347766917471734
S2,1016,0.2,xgb,xgb,1,0.9561472914088024,0.5004371380907383,0.0348464846925829
S2,1017,0.2,xgb,xgb,1,0.9576371874698818,0.5262146542364999,0.0339003107245394
S2,1018,0.2,xgb,xgb,1,0.9576059271425632,0.5168520402879875,0.0350310646552098
S2,1019,0.2,xgb,xgb,1,0.959214956811903,0.4987355608062443,0.0344081291235909
S2,1020,0.2,xgb,xgb,1,0.9571579324297704,0.514808661142502,0.0329488266614673
S2,1001,0.3,rf,rf,1,0.9567933532310888,0.5234943725491189,0.0520597345678592
S2,1002,0.3,xgb,rf,1,0.9552639790881656,0.496498426619806,0.0510550661738832
S2,1003,0.3,xgb,rf,1,0.9547184485335884,0.4950304946177702,0.0533858460603178
S2,1004,0.3,xgb,xgb,1,0.9576687102835572,0.5112450451112937,0.0481086816602334
S2,1005,0.3,xgb,rf,1,0.9544365690845272,0.5015105926302859,0.0499550276846174
S2,1006,0.3,xgb,xgb,1,0.9571414860544096,0.4799814223330784,0.0508687178784576
S2,1007,0.3,xgb,rf,1,0.9549934574736147,0.5080748514637776,0.0508626571055332
S2,1008,0.3,xgb,xgb,1,0.9545393079424374,0.5023769146713762,0.0515772121006423
S2,1009,0.3,xgb,rf,1,0.9537363917677018,0.4742589032173078,0.0508513613687019
S2,1010,0.3,xgb,xgb,1,0.9518693764309756,0.4704136084761534,0.0543172907242581
S2,1011,0.3,rf,rf,1,0.952677665887936,0.5090219076052855,0.051533165634566
S2,1012,0.3,xgb,xgb,1,0.9563004858861348,0.5187506431333606,0.0516776069829191
S2,1013,0.3,xgb,xgb,1,0.9570950251488596,0.5102110965039528,0.0533507544333989
S2,1014,0.3,rf,rf,1,0.9550031508111028,0.5149607130668219,0.0529405584817117
S2,1015,0.3,xgb,xgb,1,0.956310046053483,0.5057073263325228,0.0520629840749678
S2,1016,0.3,rf,rf,1,0.955473643766812,0.5073063778457885,0.0514069580107714
S2,1017,0.3,xgb,xgb,1,0.9584822026955953,0.5098895040636255,0.0488110849735977
S2,1018,0.3,xgb,xgb,1,0.9560390059914732,0.4983531174269838,0.0524873991732889
S2,1019,0.3,xgb,xgb,1,0.9551070520173862,0.4832979521021744,0.0515046911137221
S2,1020,0.3,xgb,xgb,1,0.9569878235057432,0.5020197605930403,0.0507000702497754
S2,1001,0.4,rf,rf,1,0.9546660170247738,0.4961703466906572,0.0737335259023105
S2,1002,0.4,rf,rf,1,0.95453098894521,0.4944640334045047,0.073385001677941
S2,1003,0.4,xgb,rf,1,0.9531444489452456,0.4691619263754448,0.0689610405511229
S2,1004,0.4,xgb,xgb,1,0.95605043091132,0.481168003298113,0.0701077802204642
S2,1005,0.4,xgb,xgb,1,0.9555148518757266,0.4699770690219728,0.0692070611961079
S2,1006,0.4,xgb,rf,1,0.9566403008906466,0.467163951982522,0.071126747302391
S2,1007,0.4,xgb,rf,1,0.955050025244865,0.4753113182513182,0.0667910830185873
S2,1008,0.4,xgb,xgb,1,0.9537041962458048,0.4760507461763007,0.0717436277562874
S2,1009,0.4,rf,xgb,1,0.9514981872732124,0.4756719866766504,0.0788766856635182
S2,1010,0.4,rf,rf,1,0.9513402423556716,0.4679291178012204,0.0793661564873699
S2,1011,0.4,xgb,rf,1,0.954030739242526,0.463612180469987,0.0719006066415736
S2,1012,0.4,rf,rf,1,0.9544023288113024,0.5008830657158434,0.0756700242110771
S2,1013,0.4,xgb,xgb,1,0.955183215560359,0.4784723288172273,0.0725703885644682
S2,1014,0.4,xgb,xgb,1,0.9507426167678468,0.443640195881555,0.0739974789520385
S2,1015,0.4,rf,rf,1,0.953401034089728,0.4797013009155479,0.0760367837530378
S2,1016,0.4,xgb,rf,1,0.9539269606657308,0.4635004053954105,0.0720848779054528
S2,1017,0.4,xgb,xgb,1,0.9551193254998188,0.4791851737555652,0.0690341311394189
S2,1018,0.4,xgb,xgb,1,0.9541961071705052,0.4862567066425612,0.0706902025563267
S2,1019,0.4,rf,rf,1,0.9533897206426292,0.4899840676683336,0.0764007341027098
S2,1020,0.4,xgb,rf,1,0.954219166528998,0.4729947603546387,0.0697571963083703
S2,1001,0.5,xgb,xgb,1,0.9537536674307556,0.457506932930792,0.090561518470314
S2,1002,0.5,rf,rf,1,0.9552159123390676,0.480972687975215,0.1018475810834211
S2,1003,0.5,rf,rf,1,0.9523829480980626,0.4564516524354358,0.0959535707056645
S2,1004,0.5,xgb,rf,1,0.9539632274519402,0.4568515642494922,0.0904963694096965
S2,1005,0.5,xgb,rf,1,0.9530132989086224,0.4525274259491352,0.0953254116631346
S2,1006,0.5,xgb,xgb,1,0.956334433176635,0.4494590629937146,0.0873447087624936
