split,seed,miss_rate,fold,model,auroc,ap,brier,best_params
S1,1001,0.2,3,svm_linear_cal,0.8680417660791708,0.3958531695943463,0.0191312222613902,"{""clf__C"": 0.1}"
S1,1001,0.2,3,xgb,0.9405064265373664,0.5075228751966044,0.016874354278505,"{""clf__learning_rate"": 0.03, ""clf__max_depth"": 4}"
S1,1001,0.2,4,extratrees,0.9276198574667962,0.4691601299235714,0.0195852575493749,"{""clf__max_depth"": 12}"
S1,1001,0.2,4,lr_l2,0.9046151198574668,0.4664327747964121,0.0180304546634658,"{""clf__C"": 1.0}"
S1,1001,0.2,4,rf,0.9456870545837384,0.5637667916660349,0.0170534584122474,"{""clf__max_depth"": null}"
S1,1001,0.2,4,svm_linear_cal,0.9006519274376418,0.4827431454521607,0.0178110474750107,"{""clf__C"": 0.1}"
S1,1001,0.2,4,xgb,0.9523303368966634,0.569362430644544,0.0160594216891616,"{""clf__learning_rate"": 0.03, ""clf__max_depth"": 3}"
S1,1001,0.2,5,extratrees,0.9380466472303208,0.5358418973142495,0.0185132633566315,"{""clf__max_depth"": 12}"
S1,1001,0.2,5,lr_l2,0.9246537900874636,0.477933521022341,0.0175829528417209,"{""clf__C"": 1.0}"
S1,1001,0.2,5,rf,0.9405166828636216,0.56684025873674,0.0168330174960802,"{""clf__max_depth"": 12}"
S1,1001,0.2,5,svm_linear_cal,0.9159428652413346,0.4806959260217175,0.0176621602775705,"{""clf__C"": 0.1}"
S1,1001,0.2,5,xgb,0.9596695821185618,0.5553408205222345,0.0162842368148489,"{""clf__learning_rate"": 0.03, ""clf__max_depth"": 3}"
S1,1001,0.3,1,extratrees,0.927722121028132,0.3460795193697782,0.0212438927230523,"{""clf__max_depth"": 12}"
S1,1001,0.3,1,lr_l2,0.8792956891317547,0.2533565590197402,0.0219886573038707,"{""clf__C"": 0.1}"
S1,1001,0.3,1,rf,0.9237553126897388,0.3822250232376876,0.019873478813563,"{""clf__max_depth"": 12}"
S1,1001,0.3,1,svm_linear_cal,0.8784203602509615,0.2667843991229208,0.0218230254539388,"{""clf__C"": 0.1}"
S1,1001,0.3,1,xgb,0.9357215138635904,0.3936705545604325,0.0193451850289714,"{""clf__learning_rate"": 0.03, ""clf__max_depth"": 4}"
S1,1001,0.3,2,extratrees,0.9451602144744606,0.4872786547593492,0.0191324691688643,"{""clf__max_depth"": 12}"
S1,1001,0.3,2,lr_l2,0.8973652479540265,0.4588082077132783,0.01791103450991,"{""clf__C"": 1.0}"
S1,1001,0.3,2,rf,0.9541137535596088,0.4853715153502472,0.0182162089378821,"{""clf__max_depth"": 12}"
S1,1001,0.3,2,svm_linear_cal,0.8898945586084814,0.4574892794567545,0.0182836997288739,"{""clf__C"": 0.1}"
S1,1001,0.3,2,xgb,0.953236358038944,0.4813835520282439,0.0177172399482958,"{""clf__learning_rate"": 0.03, ""clf__max_depth"": 5}"
S1,1001,0.3,3,extratrees,0.9294851073655044,0.5392680786928202,0.0192597398805871,"{""clf__max_depth"": 12}"
S1,1001,0.3,3,lr_l2,0.8782677852176812,0.4144884309357589,0.0185438416087352,"{""clf__C"": 1.0}"
S1,1001,0.3,3,rf,0.9249801174991662,0.4754414565926856,0.0186303080406881,"{""clf__max_depth"": 12}"
S1,1001,0.3,3,svm_linear_cal,0.8700428435824419,0.413929908061856,0.0187005511076936,"{""clf__C"": 0.1}"
S1,1001,0.3,3,xgb,0.9269606711306088,0.4423699500401748,0.0180048792095458,"{""clf__learning_rate"": 0.03, ""clf__max_depth"": 3}"
