split,seed,miss_rate,model,auroc_mean,auroc_std,ap_mean,ap_std,brier_mean,brier_std
S1,1003,0.1,svm_linear_cal,0.90480603949563,0.015112769433747512,0.4597976016506108,0.03881269752744688,0.01801712664631592,0.0008846584186023866
S1,1003,0.1,xgb,0.9556314843137359,0.0061181113604174536,0.558312164205937,0.049418978876069136,0.01606703054529884,0.0011617843576277433
S1,1003,0.2,extratrees,0.9463364363348225,0.007774807381828486,0.49059611522577856,0.05284554274912873,0.01886617518367282,0.0009685945503713098
S1,1003,0.2,lr_l2,0.9060374106548597,0.005205854121320373,0.4052189348101397,0.052426122222126295,0.01900461528694484,0.0011006814075624632
S1,1003,0.2,rf,0.9482714584846228,0.009255030145850015,0.510626598241249,0.04469721980502492,0.01794898282548954,0.0006663974959745512
S1,1003,0.2,svm_linear_cal,0.8995645356210552,0.008090630309151449,0.4037150921034862,0.059333611487378105,0.01907578493745078,0.0012299462822136268
S1,1003,0.2,xgb,0.9539916037005316,0.004084644518650997,0.5019757422393749,0.05820280059352107,0.0174893660775295,0.0013291219876054629
S1,1003,0.3,extratrees,0.9351096245712547,0.012187805174650162,0.4701170133328839,0.06187138857155581,0.01961306290772764,0.0011350259349958156
S1,1003,0.3,lr_l2,0.899682119555451,0.013556374992454264,0.3938020929136323,0.06695250469356649,0.01924439627096864,0.0011142371415266941
S1,1003,0.3,rf,0.9375500697034393,0.014358784168518353,0.48875232522270784,0.054742465054869315,0.01838873315055414,0.0008474488922899999
S1,1003,0.3,svm_linear_cal,0.892767262903385,0.010167746846717396,0.3987820661847975,0.07249454724622667,0.019265155479867863,0.0013052838597247551
S1,1003,0.3,xgb,0.9413212177562938,0.011804373345204153,0.4691746043773072,0.05696986353653707,0.017953805315705278,0.0009933695802409794
S1,1003,0.4,extratrees,0.9284844181347705,0.010577542719710408,0.43368282974281,0.06783811698762243,0.01976269789013856,0.0006598255686811991
S1,1003,0.4,lr_l2,0.8850328877832709,0.017388622089234404,0.36435574403606263,0.0630215866484131,0.01974437673860642,0.00113761040725706
S1,1003,0.4,rf,0.9300722458976836,0.017062940668282504,0.45092572080470106,0.05987821521465597,0.01901527304168142,0.0008104002298847783
S1,1003,0.4,svm_linear_cal,0.8756934971392776,0.01953989766813262,0.36618890718011804,0.06925262795299698,0.01998031046006622,0.0013882314132530134
S1,1003,0.4,xgb,0.9342236302902232,0.011650000435053091,0.47174604548305005,0.06806432544059968,0.01777862043251302,0.0013666577467437262
S1,1003,0.5,extratrees,0.9098432940347229,0.006671414533652551,0.38256478507246594,0.040253972074474724,0.02052938934393252,0.0006025814516789486
S1,1003,0.5,lr_l2,0.885630993629605,0.014322646522019207,0.3358624212267699,0.03900431776689047,0.02034315052164192,0.0008041139171664709
S1,1003,0.5,rf,0.9095866133787721,0.021390226412310663,0.396899891253022,0.06193105013214917,0.02015070447488724,0.0005534942658843531
S1,1003,0.5,svm_linear_cal,0.8769580203382628,0.022621409132950042,0.33238773002660965,0.039064688088526645,0.0205155579432682,0.0008276526064762296
S1,1003,0.5,xgb,0.9255505441356615,0.01528448309539811,0.43248195452079585,0.06225092630459052,0.018623613835017018,0.0010619127031048234
S1,1003,0.6,extratrees,0.906226057996825,0.018781927070251656,0.34925017869251695,0.06429832756764456,0.021405127839297322,0.0004731001445929244
S1,1003,0.6,lr_l2,0.8753345596587758,0.018471401434126313,0.3071824275722593,0.04231535478712816,0.0209760795066058,0.0007024607959811985
S1,1003,0.6,rf,0.9083753436009536,0.01942953265518172,0.3548084198848625,0.06052626917629899,0.020846015601941083,0.0008233728998302238
S1,1003,0.6,svm_linear_cal,0.8678065530578196,0.02687599285103438,0.3002476978590704,0.051741994176932975,0.021182495905125002,0.0009733758945988005
S1,1003,0.6,xgb,0.9204790224293525,0.023815906980104724,0.3522224011543599,0.07033506512012004,0.02023693191586076,0.0011256924918391852
S1,1003,0.7,extratrees,0.8811301110308142,0.005442116847696594,0.2805140361778952,0.04737777073636534,0.02207867312679834,0.00041634596250404076
S1,1003,0.7,lr_l2,0.8475300843510688,0.01979927575826354,0.2788758835739221,0.049090427900026413,0.02127800611259996,0.0007055857048127249
S1,1003,0.7,rf,0.8864126728814788,0.008780421359082436,0.3056035439034889,0.032178470257853614,0.02174659471423046,0.0006308514782802592
S1,1003,0.7,svm_linear_cal,0.8388749745352653,0.017598368624610308,0.2780103737081796,0.046698149355633635,0.02168488421695958,0.0008240674207647345
S1,1003,0.7,xgb,0.8985427508682859,0.009546976898013301,0.30936886225203364,0.026951054488336817,0.02083347663293488,0.0003635623065716837
S1,1004,0.0,extratrees,0.9493831946987179,0.011035964803351271,0.5421797702767507,0.07302257968440477,0.01798824360888442,0.0013023494431448847
S1,1004,0.0,lr_l2,0.9152315952640617,0.015811090877848006,0.47565748901455673,0.062326928942792834,0.01775798596584418,0.0011245595630111254
S1,1004,0.0,rf,0.9523896826462661,0.013252072940674228,0.5715101558932636,0.08083363100329105,0.016624041516112083,0.0013890113694978781
S1,1004,0.0,svm_linear_cal,0.9059601389235752,0.02079750905105614,0.48044288018579717,0.07263666909427871,0.01767063668145436,0.0013644398104207792
S1,1004,0.0,xgb,0.9584979903511458,0.013039213354741596,0.5660304943333649,0.0625990301726056,0.0158589974583506,0.0014185722752557064
S1,1004,0.05,extratrees,0.9480758166200612,0.011576051510429938,0.5354003336512188,0.07825139289024459,0.01810572114184498,0.0014587497111545533
S1,1004,0.05,lr_l2,0.9090707780411076,0.01684199155042978,0.4493612254447744,0.09145801690048366,0.01815553607296628,0.0016787854983481797
S1,1004,0.05,rf,0.9507164624437122,0.014453074535776593,0.5540146249923941,0.09918372849208391,0.01700491582287018,0.0016187594984016522
S1,1004,0.05,svm_linear_cal,0.8994079734136744,0.023141341280299262,0.4526217037044765,0.09611295491253181,0.01823370254422518,0.0018299551174902006
S1,1004,0.05,xgb,0.9579990774739429,0.01262075884382353,0.5420573369188695,0.08366416982561108,0.016566151280779602,0.0018423142833747968
S1,1004,0.1,extratrees,0.9453831688979231,0.009781791498403681,0.528135854110093,0.06267386647889492,0.0182925110330317,0.0011114551416781292
S1,1004,0.1,lr_l2,0.9130171749397791,0.02077993328972138,0.4431114432462352,0.05379166735334599,0.018368547483259202,0.0009103972871239639
S1,1004,0.1,rf,0.9481256962625453,0.016306272166715964,0.5457134253462416,0.08358920523698984,0.01723237459555212,0.001392972417509047
S1,1004,0.1,svm_linear_cal,0.9052563634661019,0.027266024344982737,0.4515717659933628,0.07275034700144369,0.01829717948585128,0.0011941215599568205
S1,1004,0.1,xgb,0.9566590544037638,0.01220082792484857,0.5463583572166933,0.052402836581079124,0.0164275383836168,0.001147776170285057
S1,1004,0.2,extratrees,0.9426789257096923,0.015414088367949578,0.5217014961387187,0.07756713717645002,0.01869558976489952,0.001093128755375012
S1,1004,0.2,lr_l2,0.9054044277675105,0.01813266143159402,0.46682689978308634,0.06885229156487147,0.01790814636156244,0.0010864566183949812
S1,1004,0.2,rf,0.9456156679065926,0.01809445580947879,0.540870706154104,0.08211034705037322,0.01742440632866656,0.001344836484648627
S1,1004,0.2,svm_linear_cal,0.8962979717871224,0.02400332686542307,0.4629765467626606,0.07142462741399029,0.01808244558181088,0.0010962257199888374
S1,1004,0.2,xgb,0.9525371526978142,0.017438192508464057,0.5383877884746644,0.06826670569756971,0.01655874671182874,0.0016180103360679597
