split,seed,miss_rate,winner_model,winner_auc,winner_ap,winner_brier
S1,1020,0.4,xgb,0.9344213182414893,0.43967870207738463,0.01862917226989006
S1,1020,0.5,xgb,0.9312059192696294,0.3982305302825014,0.01937919565945346
S1,1020,0.6,xgb,0.9109921289380832,0.3770883336119235,0.01978840535010406
S1,1020,0.7,xgb,0.9132982598529731,0.3380658499451232,0.02044082549648178
S2,1001,0.0,xgb,0.9611472127970441,0.5624686498811928,0.0158867148265118
S2,1001,0.05,xgb,0.9606374052878334,0.5633680892714968,0.01610197806478904
S2,1001,0.1,xgb,0.9548324616570103,0.5331650630609394,0.01650972289853386
S2,1001,0.2,xgb,0.9506323696192658,0.499754107865704,0.017218828871199198
S2,1001,0.3,xgb,0.9497751930962377,0.47538796642385533,0.01789509530476724
S2,1001,0.4,xgb,0.9320962624158883,0.4224342645022133,0.01877692617859398
S2,1001,0.5,xgb,0.9328074128298889,0.41303844687245395,0.01886768222257626
S2,1001,0.6,xgb,0.9183861151788906,0.3516221755135067,0.020100436958062778
S2,1001,0.7,xgb,0.8934989173592175,0.32541574649849847,0.020547733973323178
S2,1002,0.0,xgb,0.9587926656857924,0.5769799546749714,0.01575705441685758
S2,1002,0.05,xgb,0.9571538081924693,0.5468292395723643,0.01626029211381064
S2,1002,0.1,xgb,0.9565828979666151,0.5401785842687852,0.01638809509811338
S2,1002,0.2,xgb,0.9509164031000502,0.4961338138564466,0.01740859026633748
S2,1002,0.3,xgb,0.946781201920509,0.44744746585518697,0.01839559564270004
S2,1002,0.4,xgb,0.9379132286673455,0.46565292962592364,0.01805372848283778
S2,1002,0.5,xgb,0.9286283580429782,0.3707704591746234,0.01977846810252116
S2,1002,0.6,xgb,0.9182331045172061,0.3689450955975885,0.019706984131633097
S2,1002,0.7,xgb,0.9034112012338866,0.3347342566203262,0.02036620615756596
S2,1003,0.0,xgb,0.9605882866283754,0.5725217936668768,0.015771252598447458
S2,1003,0.05,xgb,0.9583448679072075,0.5349388271179458,0.01661865264485998
S2,1003,0.1,xgb,0.9570621159042713,0.5525261733238521,0.01605318150726136
